saleno,address,price,neighborhood,borough,status,date,num_beds,num_baths,num_sqft,type,url,monthly_cost,amenities_list,transit_list,gps_coordinates,school_district,building_name,built_date,building_num_units,building_url
1234489,1145_east_15th_street,869000,midwood,brooklyn,current,,3,2.5,1360,house,http://streeteasy.com/sale/1234489,4671.0,,BQ_at_av_j_0.24_miles BQ_at_av_m_0.27_miles BQ_at_av_h_0.57_miles F_at_bay_parkway_22nd_av_0.79_miles F_at_av_i_0.84_miles,40.6217 -73.9605,21,1145_east_15th_street,1910,,http://streeteasy.com/building/1145-east-15-street-brooklyn
1230792,365_bridge_street_#14g,1300000,downtown_brooklyn,brooklyn,sold,2016-08-26 00:00:00 -0400,1,2,1306,condo,http://streeteasy.com/sale/1230792,1005.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room concierge garage_parking gym laundry_in_building live_in_super parking_available community_recreation_facilities storage_available virtual_doorman central_air_conditioning dishwasher waterfront roof_deck terrace,ACFR_at_jay_st_metrotech_under_500_feet 23_at_hoyt_st_0.15_miles BQR_at_dekalb_av_0.28_miles R2345_at_borough_hall_0.28_miles ACG_at_hoyt_&_schermerhorn_0.29_miles,40.6926 -73.985,,belltel_lofts_365_bridge_street,1931,219,http://streeteasy.com/building/belltel-lofts
1233832,640_w_237th_street_#12b,1460000,riverdale,bronx,current,,3,3.5,1768,condo,http://streeteasy.com/sale/1233832,1350.0,doorman elevator pets_allowed washer_dryer_in_unit children's_playroom cold_storage concierge garage_parking gym live_in_super parking_available storage_available valet_parking dishwasher storage_available balcony deck roof_deck terrace,1_at_238th_st_0.64_miles 1_at_231st_st_0.73_miles 1_at_242nd_st_0.78_miles 1_at_225th_st_0.92_miles 4_at_bedford_park_blvd_1.54_miles,40.8875 -73.9126,10,solaria_riverdale_640_west_237th_street,2008,65,http://streeteasy.com/building/solaria-riverdale
1231713,1635_lexington_#6f,1084900,east_harlem,manhattan,in_contract,,2,2,1090,condo,http://streeteasy.com/sale/1231713,505.0,doorman elevator pets_allowed washer_dryer_in_unit virtual_doorman dishwasher balcony,6_at_103rd_st_under_500_feet 6_at_110th_st_0.33_miles 6_at_96th_st_0.39_miles 6_at_116th_st_0.62_miles 23_at_110th_st_0.62_miles,40.7905 -73.9473,,lexington_hill_condominiums_1635_lexington_avenue,2010,42,http://streeteasy.com/building/lexington-hill-condominiums
1233407,2153_61st_street,950000,mapleton,brooklyn,no_longer_available,2016-10-06 10:43:41 -0400,3,2,,house,http://streeteasy.com/sale/1233407,2018.0,,N_at_20th_av_0.27_miles F_at_av_n_0.34_miles F_at_bay_parkway_22nd_av_0.35_miles N_at_bay_parkway_22nd_av_0.44_miles F_at_av_i_0.55_miles,40.6168 -73.9797,21,2153_61st_street,1930,,http://streeteasy.com/building/2153-61-street-brooklyn
1231676,320_east_42nd_street_#1302,299000,murray_hill,manhattan,no_longer_available,2016-10-20 18:18:50 -0400,studio,1,,co_op,http://streeteasy.com/sale/1231676,738.0,cats_and_dogs_allowed elevator full_time_doorman co_purchase_allowed parents_buying_allowed pied_a_terre_allowed bike_room gym laundry_in_building live_in_super storage_available storage_available garden patio,S4567_at_42_street_grand_central_0.22_miles S4567_at_grand_central_0.3_miles Ferry_at_e_34th_street_ferry_landing_0.35_miles EM6_at_51st_st_0.55_miles BDFM7_at_5th_av_0.58_miles,40.7492 -73.9715,2,woodstock_tower_320_east_42nd_street,1929,459,http://streeteasy.com/building/woodstock-tower
1241347,300_riverside_dr_#12h,1150000,upper_west_side,manhattan,current,,2,1,,co_op,http://streeteasy.com/sale/1241347,1623.0,cats_and_dogs_allowed elevator full_time_doorman washer_dryer_in_unit bike_room laundry_in_building live_in_super central_air_conditioning,1_at_103rd_st_0.17_miles 1_at_cathedral_parkway_110th_st_0.38_miles 123_at_96th_st_0.48_miles BC_at_103rd_st_0.57_miles BC_at_cathedral_parkway_110th_st_0.66_miles,40.7998 -73.9715,,300_riverside_drive,1923,114,http://streeteasy.com/building/300-riverside-drive-new_york
1241338,287_east_houston_street_#7a,2765000,lower_east_side,manhattan,current,,2,2,1386,condo,http://streeteasy.com/sale/1241338,3586.0,doorman elevator pets_allowed washer_dryer_in_unit terrace,FJMZ_at_delancey_st_essex_st_0.25_miles F_at_2nd_av_0.27_miles JZ_at_bowery_0.5_miles BD_at_grand_st_0.53_miles 6_at_bleecker_st_0.62_miles,40.7213 -73.9843,,287_east_houston_street_287_east_houston_street,1910,28,http://streeteasy.com/building/287-east-houston-street
1236989,21_east_12th_street_#pha,14750000,greenwich_village,manhattan,in_contract,,3,3.5,3249,condo,http://streeteasy.com/sale/1236989,11034.0,doorman elevator pets_allowed washer_dryer_in_unit garage_parking balcony patio terrace,LNQR456_at_14th_st_union_square_0.12_miles NR_at_8th_st_0.26_miles FML123_at_6th_av_0.28_miles PATH_at_14th_street_station_0.3_miles 6_at_astor_place_0.31_miles,40.7343 -73.9929,2,21_east_12th_street,2016,52,http://streeteasy.com/building/21-east-12-street-new_york
1244833,570_westminster_road_#a,479000,ditmas_park,brooklyn,current,,1,1,975,resale,http://streeteasy.com/sale/1244833,595.0,doorman elevator pets_allowed laundry_in_building live_in_super package_room garden,BQ_at_newkirk_av_0.21_miles BQ_at_av_h_0.42_miles BQ_at_cortelyou_rd_0.48_miles F_at_ditmas_av_0.62_miles F_at_18th_av_0.68_miles,40.6346 -73.9666,22,570_westminster_road,1935,186,http://streeteasy.com/building/570-westminster-road-brooklyn
1242182,196_stuyvesant_avenue,1150000,stuyvesant_heights,brooklyn,no_longer_available,2016-09-20 18:04:55 -0400,5,3.5,2880,townhouse,http://streeteasy.com/sale/1242182,486.0,,J_at_kosciusko_st_0.4_miles JZ_at_gates_av_0.54_miles JMZ_at_myrtle_av_0.59_miles AC_at_utica_av_0.67_miles C_at_kingston_throop_0.69_miles,40.6885 -73.9333,16,196_stuyvesant_avenue,2009,2,http://streeteasy.com/building/196-stuyvesant-avenue-brooklyn
1246425,319_schermerhorn_street_#2c,529515,boerum_hill,brooklyn,in_contract,,studio,1,492,condo,http://streeteasy.com/sale/1246425,586.0,doorman elevator,2345_at_nevins_st_under_500_feet ACG_at_hoyt_&_schermerhorn_0.15_miles BQR_at_dekalb_av_0.16_miles BDNRQ2345_at_atlantic_av_0.26_miles LIRR_at_flatbush_avenue_0.27_miles,40.6875 -73.9815,15,the_nevins_319_schermerhorn_street,2017,73,http://streeteasy.com/building/the-nevins
1245930,1775_east_17th_street_#1,785000,homecrest,brooklyn,current,,2,2,1740,condo,http://streeteasy.com/sale/1245930,229.0,storage_available balcony,BQ_at_kings_highway_0.14_miles BQ_at_av_u_0.53_miles BQ_at_av_m_0.8_miles BQ_at_neck_rd_0.81_miles F_at_av_p_0.92_miles,40.6067 -73.9558,22,1775_east_17th_street,2006,6,http://streeteasy.com/building/1775-east-17-street-brooklyn
1240032,474_west_238th_street_#6a,320000,riverdale,bronx,current,,2,1,,co_op,http://streeteasy.com/sale/1240032,1106.0,garage_parking live_in_super storage_available garden,1_at_238th_st_0.31_miles 1_at_242nd_st_0.45_miles 1_at_231st_st_0.6_miles 1_at_225th_st_0.92_miles 4_at_mosholu_parkway_1.23_miles,40.8873 -73.9059,10,474_west_238th_street,1939,54,http://streeteasy.com/building/474-west-238-street-bronx
1231633,200_corbin_place_#1e,295000,brighton_beach,brooklyn,sold,2016-08-09 00:00:00 -0400,1,1,750,resale,http://streeteasy.com/sale/1231633,549.0,pets_allowed co_purchase_allowed gifts_allowed guarantors_allowed parents_buying_allowed sublets_allowed garage_parking laundry_in_building live_in_super package_room parking_available courtyard deck,BQ_at_brighton_beach_0.4_miles BQ_at_sheepshead_bay_0.61_miles Q_at_ocean_parkway_0.72_miles F_at_neptune_av_van_siclen_1.11_miles FQ_at_west_8th_st_1.19_miles,40.5769 -73.9543,21,200_corbin_place,1961,118,http://streeteasy.com/building/200-corbin-place-brooklyn
1249632,153_16_77th_avenue,929000,kew_gardens_hills,queens,current,,4,4,,townhouse,http://streeteasy.com/sale/1249632,6743.0,swimming_pool balcony deck,EF_at_van_wyck_blvd_1.02_miles EF_at_union_turnpike_1.16_miles F_at_parsons_blvd_1.18_miles F_at_sutphin_blvd_1.22_miles F_at_169th_st_1.32_miles,40.7232 -73.8118,25,153_16_77th_avenue,1950,,http://streeteasy.com/building/153_16-77-avenue-queens
1235864,135_west_52nd_street_#12c,2100000,midtown,manhattan,no_longer_available,2016-07-27 23:25:36 -0400,1,2,904,condo,http://streeteasy.com/sale/1235864,1610.0,doorman elevator pets_allowed garage_parking gym media_room parking_available swimming_pool,BDE_at_7th_av_under_500_feet NR_at_49th_st_0.17_miles BDFM_at_47_50th_sts_rockefeller_center_0.18_miles 1_at_50th_st_0.19_miles F_at_57th_st_0.23_miles,40.762 -73.9809,2,135_west_52nd_street,,,http://streeteasy.com/building/135-west-52-street-new_york
1234755,72_17_34th_avenue_#1c,369000,jackson_heights,queens,in_contract,,1,1,,co_op,http://streeteasy.com/sale/1234755,606.0,pets_allowed bike_room laundry_in_building storage_available storage_available garden,MR_at_65th_st_0.33_miles EFMR7_at_broadway_74th_st_0.44_miles 7_at_fisk_av_69th_st_0.47_miles EFMR7_at_roosevelt_av_jackson_hts_0.47_miles 7_at_82nd_st_jackson_heights_0.64_miles,40.7531 -73.8939,30,72_17_34th_avenue,1937,96,http://streeteasy.com/building/72_17-34-avenue-queens
1245317,2_east_55th_street_1135_31ab,550000,midtown,manhattan,current,,2,3,1261,timeshare,http://streeteasy.com/sale/1245317,2075.0,elevator full_time_doorman pets_allowed concierge gym virtual_doorman dishwasher,EM_at_5th_av_under_500_feet F_at_57th_st_0.24_miles EM6_at_lexington_av_53_st_0.29_miles NQR_at_5th_av_0.3_miles EM6_at_51st_st_0.31_miles,40.7612 -73.9745,2,the_st._regis_new_york_2_east_55th_street,1903,440,http://streeteasy.com/building/the-st-regis-new-york
1232655,1628_72nd_street,775000,bensonhurst,brooklyn,current,,3,2.5,,house,http://streeteasy.com/sale/1232655,0,,D_at_71st_st_0.11_miles D_at_79th_st_0.34_miles DN_at_new_utrecht_av_0.49_miles N_at_18th_av_0.5_miles DN_at_62nd_st_0.68_miles,40.6174 -73.9983,20,1628_72nd_street,1930,,http://streeteasy.com/building/1628-72-street-brooklyn
1249370,1075_grand_concourse_#1g,185000,concourse,bronx,current,,1,1,,co_op,http://streeteasy.com/sale/1249370,752.0,elevator pets_allowed laundry_in_building live_in_super,B_at_167th_st_0.12_miles 4_at_167th_st_0.26_miles B4_at_161st_st_yankee_stadium_0.36_miles 4_at_170th_st_0.57_miles B_at_170th_st_0.58_miles,40.8319 -73.9207,9,1075_grand_concourse,1928,108,http://streeteasy.com/building/1075-grand-concourse-bronx
1232452,7_east_14th_street_#18y,999000,flatiron,manhattan,in_contract,,1,1,750,resale,http://streeteasy.com/sale/1232452,1395.0,cats_and_dogs_allowed elevator full_time_doorman guarantors_allowed pied_a_terre_allowed sublets_allowed bike_room cold_storage laundry_in_building live_in_super parking_available,LNQR456_at_14th_st_union_square_under_500_feet FML123_at_6th_av_0.24_miles PATH_at_14th_street_station_0.25_miles FML123_at_14th_st_0.27_miles PATH_at_9th_street_station_0.35_miles,40.7358 -73.9925,2,the_victoria_7_east_14th_street,1965,495,http://streeteasy.com/building/the-victoria
1245277,1435_lexington_avenue_#1b,250000,carnegie_hill,manhattan,in_contract,,studio,1,225,co_op,http://streeteasy.com/sale/1245277,785.0,cats_and_dogs_allowed elevator full_time_doorman pied_a_terre_allowed bike_room laundry_in_building live_in_super storage_available storage_available deck roof_deck,6_at_96th_st_0.11_miles 456_at_86th_st_0.39_miles 6_at_103rd_st_0.47_miles 6_at_110th_st_0.83_miles 6_at_77th_st_0.85_miles,40.7842 -73.9518,2,1435_lexington_avenue,1925,70,http://streeteasy.com/building/1435-lexington-avenue-new_york
1234979,3875_waldo_avenue_#11t,750000,riverdale,bronx,no_longer_available,2016-07-15 23:26:28 -0400,3,2,2000,co_op,http://streeteasy.com/sale/1234979,1777.0,cats_only_no_dogs bike_room gym laundry_in_building live_in_super storage_available,1_at_242nd_st_0.29_miles 1_at_238th_st_0.32_miles 1_at_231st_st_0.72_miles 1_at_225th_st_1.08_miles 4_at_mosholu_parkway_1.18_miles,40.8891 -73.9033,10,3875_waldo_avenue,1931,105,http://streeteasy.com/building/3875-waldo-avenue-bronx
1245921,460_west_42nd_street_#322,2230000,hell's_kitchen,manhattan,no_longer_available,2016-10-07 08:00:15 -0400,1,1.5,845,condo,http://streeteasy.com/sale/1245921,1785.0,doorman elevator pets_allowed washer_dryer_in_unit bike_room cold_storage concierge gym laundry_in_building green_building media_room package_room swimming_pool community_recreation_facilities smoke_free storage_available storage_available deck garden,ACE_at_42nd_st_port_authority_bus_terminal_0.32_miles 7_at_34th_st_hudson_yards_0.33_miles Ferry_at_w_39th_street_ferry_landing_0.41_miles NQRS1237_at_times_square_0.48_miles CE_at_50th_st_0.49_miles,40.7593 -73.9953,,manhattan_view_at_mima_460_west_42nd_street,2012,151,http://streeteasy.com/building/manhattan-view-at-mima
1233505,69_berry_street_#3,1199000,williamsburg,brooklyn,current,,2,1.5,938,condo,http://streeteasy.com/sale/1233505,713.0,cats_and_dogs_allowed elevator washer_dryer_in_unit dishwasher storage_available roof_deck,L_at_bedford_av_0.16_miles Ferry_at_north_5th_street_ferry_landing_0.33_miles G_at_nassau_av_0.42_miles GL_at_metropolitan_av_0.52_miles GL_at_lorimer_st_0.59_miles,40.72 -73.9573,14,69_berry_street,2010,6,http://streeteasy.com/building/69-berry-street-brooklyn
1240485,143_sullivan_street_#5,525000,soho,manhattan,in_contract,,studio,1,,co_op,http://streeteasy.com/sale/1240485,804.0,cats_and_dogs_allowed guarantors_allowed parents_buying_allowed sublets_allowed bike_room storage_available dishwasher courtyard garden,CE_at_spring_st_0.13_miles 1_at_houston_st_0.21_miles NR_at_prince_st_0.29_miles BDFM_at_broadway_lafayette_st_0.3_miles 1_at_canal_st_0.37_miles,40.7269 -74.0018,2,143_sullivan_street,1900,20,http://streeteasy.com/building/143-sullivan-street-new_york
1232247,1395_e_16th_street,2400000,midwood,brooklyn,no_longer_available,2016-11-03 01:15:42 -0400,5,3,4170,resale,http://streeteasy.com/sale/1232247,0,washer_dryer_in_unit garage_parking parking_available storage_available central_air_conditioning dishwasher storage_available,BQ_at_av_m_0.14_miles BQ_at_kings_highway_0.54_miles BQ_at_av_j_0.64_miles F_at_av_n_0.83_miles F_at_av_p_0.92_miles,40.616 -73.9585,21,1601_avenue_n,1920,,http://streeteasy.com/building/1601-avenue-n-brooklyn
1247060,153.5_stanton_street_#3fw,325000,lower_east_side,manhattan,current,,studio,1,375,co_op,http://streeteasy.com/sale/1247060,297.0,pets_allowed washer_dryer_in_unit guarantors_allowed storage_available courtyard,FJMZ_at_delancey_st_essex_st_0.17_miles F_at_2nd_av_0.29_miles JZ_at_bowery_0.45_miles BD_at_grand_st_0.46_miles F_at_east_broadway_0.58_miles,40.7203 -73.9851,,153_1_2_stanton_street,1920,10,http://streeteasy.com/building/153-and-a-half-stanton-street-new_york
1240630,111_monroe_street_#5e,860000,bedford_stuyvesant,brooklyn,no_longer_available,2016-09-26 10:05:08 -0400,2,2,950,condo,http://streeteasy.com/sale/1240630,462.0,cats_and_dogs_allowed elevator washer_dryer_in_unit gym laundry_in_building parking_available storage_available balcony,CS_at_franklin_av_0.3_miles G_at_bedford_nostrand_avs_0.37_miles G_at_classon_av_0.39_miles AC_at_nostrand_av_0.42_miles LIRR_at_nostrand_avenue_0.58_miles,40.6852 -73.9545,,111_monroe_street,2009,,http://streeteasy.com/building/111-monroe-street-brooklyn
