max_depth,num_rounds_boosting,train_mse,val_mse
6,47,0.199191,0.223741
6,48,0.198883,0.223697
6,49,0.198561,0.223507
6,50,0.198288,0.223337
6,51,0.197957,0.22309
6,52,0.197226,0.222578
6,53,0.196413,0.222064
6,54,0.196042,0.221868
6,55,0.195557,0.221384
6,56,0.19506,0.221031
6,57,0.194642,0.221163
6,58,0.194404,0.221024
6,59,0.193343,0.220247
6,60,0.192787,0.220161
6,61,0.192429,0.219806
6,62,0.192173,0.219601
6,63,0.191805,0.219454
6,64,0.191618,0.219405
6,65,0.191301,0.219241
6,66,0.190791,0.218897
6,67,0.190548,0.218749
6,68,0.190157,0.218529
6,69,0.189767,0.218213
6,70,0.189332,0.218118
6,71,0.18878,0.217846
6,72,0.188574,0.217727
6,73,0.188242,0.217534
6,74,0.188008,0.217616
6,75,0.187929,0.217601
6,76,0.187735,0.21753
6,77,0.187584,0.217461
6,78,0.187442,0.217463
6,79,0.187338,0.217389
6,80,0.186779,0.216992
6,81,0.186512,0.216858
6,82,0.186141,0.216723
6,83,0.185537,0.216254
6,84,0.185307,0.216034
6,85,0.185178,0.215993
6,86,0.185133,0.215982
6,87,0.184939,0.215857
6,88,0.184824,0.215907
6,89,0.184417,0.215598
6,90,0.183962,0.215152
6,91,0.183774,0.215058
6,92,0.183614,0.214942
6,93,0.183435,0.214881
6,94,0.183322,0.214817
6,95,0.183074,0.21477
6,96,0.182477,0.214299
6,97,0.182308,0.214176
6,98,0.181965,0.213967
6,99,0.18171,0.213869
6,100,0.181406,0.213728
8,1,0.436408,0.436431
8,2,0.357778,0.360154
8,3,0.307416,0.31234
8,4,0.277007,0.285021
8,5,0.256427,0.268062
8,6,0.243397,0.257009
8,7,0.234569,0.250296
8,8,0.226769,0.244139
8,9,0.221553,0.240677
8,10,0.216205,0.236822
8,11,0.212888,0.235418
8,12,0.210068,0.233701
8,13,0.207395,0.232234
8,14,0.204723,0.230411
8,15,0.203552,0.229733
8,16,0.202176,0.229125
8,17,0.200221,0.227937
8,18,0.198826,0.2273
8,19,0.197703,0.226728
8,20,0.19578,0.225487
8,21,0.194548,0.225838
8,22,0.193657,0.225377
8,23,0.192291,0.224686
8,24,0.190988,0.223956
8,25,0.189987,0.223233
8,26,0.189205,0.222754
8,27,0.188332,0.222212
8,28,0.186664,0.221538
8,29,0.185103,0.220444
8,30,0.184581,0.220247
8,31,0.184118,0.219926
8,32,0.183165,0.219505
8,33,0.181852,0.218547
8,34,0.181215,0.218456
8,35,0.180403,0.217999
8,36,0.179907,0.217772
8,37,0.179565,0.217601
8,38,0.178935,0.217348
8,39,0.177964,0.216879
8,40,0.177063,0.216336
8,41,0.175977,0.21589
8,42,0.175007,0.215417
8,43,0.174299,0.215174
8,44,0.173818,0.215002
8,45,0.173115,0.214872
8,46,0.172725,0.214815
8,47,0.172439,0.214706
8,48,0.171888,0.214607
8,49,0.171262,0.214178
8,50,0.170975,0.214028
8,51,0.170598,0.213856
8,52,0.170223,0.21362
8,53,0.170043,0.213579
8,54,0.169392,0.213264
8,55,0.169078,0.213106
8,56,0.16854,0.212927
8,57,0.168122,0.212695
8,58,0.167466,0.212294
8,59,0.167101,0.212234
8,60,0.166945,0.21218
8,61,0.166729,0.212136
8,62,0.166248,0.21204
8,63,0.165846,0.211901
8,64,0.165085,0.211477
8,65,0.16485,0.211416
8,66,0.163965,0.211267
8,67,0.163072,0.21076
8,68,0.162736,0.210593
8,69,0.16234,0.210396
8,70,0.161797,0.210133
8,71,0.161635,0.210063
8,72,0.161307,0.209976
8,73,0.160869,0.20985
8,74,0.160409,0.209706
8,75,0.159986,0.209783
8,76,0.159757,0.209744
8,77,0.15949,0.209612
8,78,0.158889,0.209231
8,79,0.158609,0.209232
8,80,0.158411,0.20924
8,81,0.158255,0.209227
8,82,0.157999,0.209131
8,83,0.157616,0.209015
8,84,0.157441,0.208944
8,85,0.157094,0.208934
8,86,0.156908,0.209224
8,87,0.156543,0.209112
8,88,0.156345,0.209105
8,89,0.155761,0.208741
8,90,0.155271,0.208683
8,91,0.154856,0.208626
8,92,0.154592,0.20865
8,93,0.154224,0.208484
8,94,0.153897,0.208296
8,95,0.153486,0.208062
8,96,0.153286,0.208075
8,97,0.152879,0.207961
8,98,0.152658,0.207903
8,99,0.152444,0.207737
8,100,0.152363,0.207782
10,1,0.430178,0.431309
10,2,0.347572,0.352329
10,3,0.293124,0.302425
10,4,0.259511,0.273328
10,5,0.239232,0.256697
10,6,0.223752,0.245732
10,7,0.213518,0.239786
10,8,0.205798,0.236077
10,9,0.199882,0.232998
10,10,0.1953,0.23102
10,11,0.18999,0.228202
10,12,0.187332,0.227515
10,13,0.184115,0.226191
10,14,0.181377,0.225158
10,15,0.178346,0.223549
10,16,0.176051,0.222659
10,17,0.174523,0.221883
10,18,0.172719,0.221511
10,19,0.170857,0.220704
10,20,0.169946,0.220402
10,21,0.168478,0.21983
10,22,0.166848,0.219084
10,23,0.1655,0.218792
10,24,0.163941,0.218303
10,25,0.162844,0.217968
10,26,0.162158,0.217555
10,27,0.161545,0.217359
10,28,0.160569,0.217078
10,29,0.159772,0.216699
10,30,0.158567,0.216585
10,31,0.158272,0.216358
10,32,0.157469,0.216264
10,33,0.156392,0.215903
10,34,0.155479,0.215548
10,35,0.154235,0.214918
10,36,0.1535,0.214603
10,37,0.152729,0.214705
10,38,0.151687,0.214077
10,39,0.150859,0.21416
10,40,0.150049,0.214183
10,41,0.148995,0.2139
10,42,0.148647,0.213798
10,43,0.148266,0.213841
10,44,0.147617,0.213634
10,45,0.147222,0.213595
10,46,0.146919,0.213479
10,47,0.146042,0.213175
10,48,0.145316,0.212883
10,49,0.144395,0.212927
10,50,0.143023,0.212055
10,51,0.142834,0.212005
10,52,0.142442,0.212177
10,53,0.142076,0.212089
10,54,0.141579,0.211964
10,55,0.14142,0.211938
10,56,0.141171,0.211876
10,57,0.140731,0.211745
10,58,0.14007,0.211632
10,59,0.139261,0.21113
10,60,0.138612,0.210867
10,61,0.138049,0.210938
